study.name,year,group.name,n,d.pair,t.pair,df.pair,mdif.pair,sdif,stder.pair,mpre,sdpre,mpos,sdpos,r.prepos,rev.sign,rev.group,autoreg,post,control,outcome,time,control_type,measure
Guo,2015,NA,24,NA,NA,NA,NA,NA,NA,56.54,17.59,68.99,20.02,NA,NA,NA,NA,3,FALSE,1,4,1,1
Guo,2015,NA,23,NA,NA,NA,NA,NA,NA,62.12,19.68,77.1,14.02,NA,NA,NA,NA,1,FALSE,1,1,1,1
Guo,2015,NA,23,NA,NA,NA,NA,NA,NA,62.12,19.68,71.74,15.75,NA,NA,NA,NA,2,FALSE,1,3,1,1
Guo,2015,NA,23,NA,NA,NA,NA,NA,NA,62.12,19.68,75.4,14.73,NA,NA,NA,NA,3,FALSE,1,4,1,1
Guo,2015,NA,27,NA,NA,NA,NA,NA,NA,68.8,14.66,69.81,14.63,NA,NA,NA,NA,2,TRUE,1,1,1,1
Guo,2015,NA,27,NA,NA,NA,NA,NA,NA,68.8,14.66,68.37,16.48,NA,NA,NA,NA,1,TRUE,1,3,1,1
Guo,2015,NA,27,NA,NA,NA,NA,NA,NA,68.8,14.66,69.3,20.15,NA,NA,NA,NA,3,TRUE,1,4,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hartshorn,2008,NA,28,NA,NA,NA,NA,NA,NA,79.66,16.05,84.81,15.28,NA,NA,NA,NA,1,FALSE,1,2,1,1
Hartshorn,2008,NA,28,NA,NA,NA,NA,NA,NA,71.68,16.79,79.31,15.17,NA,NA,NA,NA,1,FALSE,2,2,1,2
Hartshorn,2008,NA,28,NA,NA,NA,NA,NA,NA,95.8,5.17,97.86,3.05,NA,NA,NA,NA,1,FALSE,3,2,1,3
Hartshorn,2008,NA,28,NA,NA,NA,NA,NA,NA,93.63,6.9,93.31,8.23,NA,NA,NA,NA,1,FALSE,4,2,1,4
Hartshorn,2008,NA,19,NA,NA,NA,NA,NA,NA,86.62,15.05,79.44,17.14,NA,NA,NA,NA,1,TRUE,1,2,1,1
Hartshorn,2008,NA,19,NA,NA,NA,NA,NA,NA,81.23,10,76.84,11.54,NA,NA,NA,NA,1,TRUE,2,2,1,2
Hartshorn,2008,NA,19,NA,NA,NA,NA,NA,NA,96.07,4.58,96.47,3.52,NA,NA,NA,NA,1,TRUE,3,2,1,3
Hartshorn,2008,NA,19,NA,NA,NA,NA,NA,NA,95.31,5.08,96.25,4.68,NA,NA,NA,NA,1,TRUE,4,2,1,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harts_Evans,2015,NA,15,NA,NA,NA,NA,NA,NA,0.215,0.124,0.362,0.158,NA,NA,NA,NA,1,FALSE,1,2,0,1
Harts_Evans,2015,NA,12,NA,NA,NA,NA,NA,NA,0.156,0.116,0.164,0.094,NA,NA,NA,NA,1,TRUE,1,2,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
