study.name,group,n,mpre,sdpre,mpos,sdpos,post,control,outcome,time_wk,treats
Nemati_etal,3,31,37.7,5.58,22.87,9.88,1,TRUE,1,1,4
Nemati_etal,3,31,37.7,5.58,16.41,7.47,2,TRUE,1,4,4
Nusrat.etal.,1,25,1.92,0.7,1.96,0.73,1,FALSE,1,8,2
Nusrat.etal.,1,25,1.88,0.67,2.24,0.78,1,FALSE,2,8,2
Nusrat.etal.,1,25,1.56,0.77,0.8,0.5,1,FALSE,3,8,2
Nusrat.etal.,2,25,2,0.5,1.92,0.57,1,TRUE,1,8,2
Nusrat.etal.,2,25,1.96,0.68,2.16,0.55,1,TRUE,2,8,2
Nusrat.etal.,2,25,1.36,0.57,1.64,1.04,1,TRUE,3,8,2
Pariyto_Cah.,1,13,7.52,0.78,8.53,0.71,1,FALSE,1,0,7
Pariyto_Cah.,1,13,7.52,0.78,7.8,1.04,2,FALSE,1,4,7
Pariyto_Cah.,2,12,7.61,0.99,7.79,1.17,1,TRUE,1,0,7
Pariyto_Cah.,2,12,7.61,0.99,7.9,1.27,2,TRUE,1,4,7
Parreno,1,18,2.79,2.12,1.83,1.77,1,FALSE,1,2,7
Parreno,1,18,2.07,1.6,2.01,1.98,1,FALSE,2,2,7
Parreno,1,18,1.07,0.71,1.03,0.5,1,FALSE,3,2,7
Parreno,1,18,1.36,0.6,0.91,0.62,1,FALSE,4,2,7
Parreno,2,13,3.26,1.25,3.33,1.58,1,FALSE,1,2,7
Parreno,2,13,2.1,1.66,2.01,1.98,1,FALSE,2,2,7
Parreno,2,13,1.3,0.48,1.15,0.68,1,FALSE,3,2,7
Parreno,2,13,1.4,0.39,0.94,0.61,1,FALSE,4,2,7
Parreno,3,20,3.4,2.19,1.59,1.1,1,FALSE,1,2,7
Parreno,3,20,2.15,1.11,0.52,0.36,1,FALSE,2,2,7
Parreno,3,20,1.24,0.54,0.47,0.38,1,FALSE,3,2,7
Parreno,3,20,1.22,0.43,0.51,0.6,1,FALSE,4,2,7
Parreno,4,17,2.45,1.57,2.45,1.72,1,TRUE,2,2,7
Parreno,4,17,1.18,0.91,1.65,1.01,1,TRUE,3,2,7
Parreno,4,17,1.53,0.9,1.41,0.65,1,TRUE,4,2,7
Parreno,4,17,2.72,1.11,2.49,1.51,1,TRUE,1,2,7
Pash.,1,23,17.58,12.53,33.41,15.65,1,FALSE,1,0,2
Pash.,1,23,17.58,12.53,22.12,8.57,2,FALSE,1,4,2
Pash.,2,17,16.36,8.51,23.64,17.6,1,FALSE,1,0,2
Pash.,2,17,16.36,8.51,18.19,9.26,2,FALSE,1,4,2
Pash.,3,16,13.01,7.44,28.03,14.68,1,FALSE,1,0,2
Pash.,3,16,13.01,7.44,15.08,7.4,2,FALSE,1,4,2
Pash.,4,21,14.94,8.69,17.14,7.9,1,TRUE,1,0,2
Pash.,4,21,14.94,8.69,17.42,9.38,2,TRUE,1,4,2
Polio_etal,1,34,0.263,0.14,0.311,0.132,1,FALSE,1,1,14
Polio_etal,1,34,0.208,0.127,0.249,0.127,1,FALSE,2,1,14
Polio_etal,2,31,0.254,0.127,0.296,0.171,1,TRUE,1,1,14
Polio_etal,2,31,0.192,0.111,0.235,1.44,1,TRUE,2,1,14
Rahimi,1,32,12.28,9.56,5.6,3.52,1,FALSE,1,3,3
Rahimi,2,27,13.57,9.23,8.32,5.65,1,TRUE,1,3,3
Rummel_Bitc.,1,10,85.19,9.22,94.47,8.89,1,FALSE,1,1,2
Rummel_Bitc.,1,10,85.19,9.22,91.23,8.21,2,FALSE,1,4,2
